Year,T,Tmax,Tmin
1992,16,20.5,11.6
1993,17,21.2,12.9
1994,17.8,22.2,13
1995,18.4,23,13.7
1996,17.5,21.9,12.8
1997,18.3,22.8,13.2
1998,18.8,23.3,13.9
1999,18.7,23.4,13.6
2000,18.4,23.1,13.4
2001,19.1,24.1,13.8
2002,19.2,23.4,13
2003,18.1,22.7,12.9
2004,18.5,23.2,13.4
2005,18.5,23.1,13.2
2006,18.8,24,13.6
2007,18.2,23.5,13
2008,18.2,23.7,12.9
2009,17.9,23.2,12.7
2010,19.4,24.8,14.2
2011,17.7,22.7,12.6
2012,17.8,22.7,12.6
2013,18.5,23.8,12.9
2014,18.6,23.5,13.1
2015,19,23.8,13.6
2016,18.9,24,13.1
2017,18.9,23.8,13.2
2018,19.4,24.1,14
2019,18.4,23.3,12.9
2020,17.8,22.6,12.5
2021,19.8,24.8,14.3
